,timestamp_year,timestamp_month,timestamp_day,total_irradiance
424,1981,3,1,1367.582
425,1981,3,2,1368.214
426,1981,3,3,1368.1070000000002
427,1981,3,4,1367.885
428,1981,3,5,1368.3970000000002
429,1981,3,6,1367.9589999999998
430,1981,3,7,1367.621
431,1981,3,8,1367.7120000000002
432,1981,3,9,1368.027
433,1981,3,10,1368.033
434,1981,3,11,1368.1029999999998
435,1981,3,12,1368.259
436,1981,3,13,1368.4489999999998
437,1981,3,14,1368.235
438,1981,3,15,1367.275
439,1981,3,16,1368.016
440,1981,3,17,1368.237
441,1981,3,18,1368.489
442,1981,3,19,1367.881
443,1981,3,20,1368.024
444,1981,3,21,1367.3010000000002
445,1981,3,22,1367.543
446,1981,3,23,1368.0420000000001
447,1981,3,24,1368.158
448,1981,3,25,1367.703
449,1981,3,26,1368.0739999999998
450,1981,3,27,1367.945
451,1981,3,28,1367.8529999999998
452,1981,3,29,1368.1589999999999
453,1981,3,30,1368.263
454,1981,3,31,1368.7020000000002
455,1981,4,1,1368.503
456,1981,4,2,1368.82
457,1981,4,3,1368.889
458,1981,4,4,1368.862
459,1981,4,5,1368.75
460,1981,4,6,1368.131
461,1981,4,7,1368.078
462,1981,4,8,1367.9260000000002
463,1981,4,9,1367.912
464,1981,4,10,1367.237
465,1981,4,11,1367.5520000000001
466,1981,4,12,1366.721
467,1981,4,13,1366.7679999999998
468,1981,4,14,1367.318
469,1981,4,15,1367.864
470,1981,4,16,1368.1770000000001
471,1981,4,17,1367.315
472,1981,4,18,1367.4389999999999
473,1981,4,19,1368.099
474,1981,4,20,1368.068
475,1981,4,21,1368.1889999999999
476,1981,4,22,1368.144
477,1981,4,23,1367.5720000000001
478,1981,4,24,1367.8829999999998
479,1981,4,25,1368.3670000000002
480,1981,4,26,1368.704
481,1981,4,27,1368.489
482,1981,4,28,1368.3310000000001
483,1981,4,29,1368.344
484,1981,4,30,1368.5729999999999
485,1981,5,1,1368.271
486,1981,5,2,1369.0529999999999
487,1981,5,3,1368.6029999999998
488,1981,5,4,1368.0320000000002
489,1981,5,5,1367.955
490,1981,5,6,1367.4170000000001
491,1981,5,7,1367.9679999999998
492,1981,5,8,1367.908
493,1981,5,9,1368.1629999999998
494,1981,5,10,1368.0610000000001
495,1981,5,11,1367.479
496,1981,5,12,
497,1981,5,13,1367.934
498,1981,5,14,1368.4920000000002
499,1981,5,15,1367.5910000000001
500,1981,5,16,
501,1981,5,17,
502,1981,5,18,1367.91
503,1981,5,19,
504,1981,5,20,1367.0929999999998
505,1981,5,21,
506,1981,5,22,1368.148
507,1981,5,23,1367.932
508,1981,5,24,
509,1981,5,25,1368.8410000000001
510,1981,5,26,1368.2679999999998
511,1981,5,27,1367.9779999999998
512,1981,5,28,1368.019
513,1981,5,29,1368.391
514,1981,5,30,1368.497
515,1981,5,31,1367.735
516,1981,6,1,1368.092
517,1981,6,2,1367.193
518,1981,6,3,1368.056
519,1981,6,4,1368.731
520,1981,6,5,1368.192
521,1981,6,6,
522,1981,6,7,1368.274
523,1981,6,8,1368.144
524,1981,6,9,1368.487
525,1981,6,10,1367.9479999999999
526,1981,6,11,1368.026
527,1981,6,12,1367.871
528,1981,6,13,1368.055
529,1981,6,14,1367.839
530,1981,6,15,1367.602
531,1981,6,16,1367.579
532,1981,6,17,1367.501
533,1981,6,18,1367.854
534,1981,6,19,1368.194
535,1981,6,20,1368.396
536,1981,6,21,1368.017
537,1981,6,22,1368.1
538,1981,6,23,1367.9070000000002
539,1981,6,24,1367.569
540,1981,6,25,1367.545
541,1981,6,26,1367.9520000000002
542,1981,6,27,1367.285
543,1981,6,28,1367.418
544,1981,6,29,1367.504
545,1981,6,30,1367.491
546,1981,7,1,1367.102
547,1981,7,2,1366.765
548,1981,7,3,1367.665
549,1981,7,4,1367.889
550,1981,7,5,1368.4379999999999
551,1981,7,6,1368.3770000000002
552,1981,7,7,1367.97
553,1981,7,8,1367.852
554,1981,7,9,1368.068
555,1981,7,10,1368.184
556,1981,7,11,1367.7579999999998
557,1981,7,12,1368.14
558,1981,7,13,1367.729
559,1981,7,14,1367.747
560,1981,7,15,1367.851
561,1981,7,16,1367.392
562,1981,7,17,1367.743
563,1981,7,18,1366.146
564,1981,7,19,1367.4170000000001
565,1981,7,20,1366.996
566,1981,7,21,1367.106
567,1981,7,22,1366.04
568,1981,7,23,1365.339
569,1981,7,24,1365.1129999999998
570,1981,7,25,1364.933
571,1981,7,26,1365.1760000000002
572,1981,7,27,
573,1981,7,28,
574,1981,7,29,
575,1981,7,30,
576,1981,7,31,
577,1981,8,1,1367.35
578,1981,8,2,1367.55
579,1981,8,3,1367.484
